"ID","Player","Team","Position","RkOv","Status","Age","Score","%D","ADP","Ros","+/-"
"*031cy*","Emilio Pagan","CIN","RP","76","Aidangon","34","78.82","100","253.5","89%","0%"
"*041pz*","Pete Alonso","BAL","1B","77","PINKHATS","31","78.77","100","25.8","99%","0%"
"*04qk8*","CJ Abrams","WSH","SS","78","PINKHATS","25","78.69","100","68.2","99%","0%"
"*04pst*","Jarren Duran","BOS","OF","79","BraedonS","29","78.64","99","64.6","99%","0%"
"*05rat*","James Wood","WSH","OF","80","paranoia","23","78.64","100","28","99%","0%"
"*02jh6*","Eugenio Suarez","(N/A)","3B","81","BraedonS","34","78.29","100","71.1","96%","0%"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","82","OWH","26","78.28","100","19.6","99%","0%"
"*04b00*","Brice Turang","MIL","2B","83","Aidangon","26","78.02","100","37.7","98%","0%"
"*02bq2*","Brandon Nimmo","TEX","OF","84","FA","32","77.73","100","105.6","96%","0%"
"*066n3*","Ryan Walker","SF","RP","85","FA","30","77.72","98","329.3","81%","0%"
"*030uc*","Rafael Devers","SF","1B","86","RDO","29","77.7","100","35.9","98%","0%"
"*03mnq*","Carlos Estevez","KC","RP","87","PINKHATS","33","77.09","100","171.1","94%","0%"
"*01spo*","Gerrit Cole","NYY","SP","88","paranoia","35","76.67","100","249","96%","0%"
"*01fh9*","Bryce Harper","PHI","1B","89","TBD","33","76.52","100","37.5","98%","0%"
"*02n4s*","Matthew Boyd","CHC","SP","90","Aidangon","34","76.46","100","197","95%","0%"
"*05184*","Vinnie Pasquantino","KC","1B","91","RDO","28","76.43","100","74.1","99%","0%"
"*060pm*","Wyatt Langford","TEX","OF","92","OWH","24","76.31","100","45.1","99%","0%"
"*0326s*","Ketel Marte","ARI","2B","93","OWH","32","76.17","100","27.8","98%","0%"
"*05y23*","Tanner Bibee","CLE","SP","94","FA","26","75.87","99","169","98%","0%"
"*03et8*","Ranger Suarez","BOS","SP","95","Aidangon","30","75.8","100","160.7","97%","0%"
"*04pmb*","Kris Bubic","KC","SP","96","FA","28","75.72","100","204","96%","0%"
"*0512m*","Ryan Pepiot","TB","SP","97","PINKHATS","28","75.65","99","135.3","98%","0%"
"*03dau*","Trevor Megill","MIL","RP","98","Aidangon","32","75.55","100","214.7","93%","0%"
"*041rf*","Shane Bieber","TOR","SP","99","FA","30","75.4","100","144.4","97%","0%"
"*02btf*","Mookie Betts","LAD","SS","100","PINKHATS","33","75.38","100","49.7","98%","0%"
"*04prt*","Lawrence Butler","ATH","OF","101","OWH","25","75.06","99","126.2","98%","0%"
"*0512v*","Michael Harris II","ATL","OF","102","OWH","24","74.88","100","102.2","98%","0%"
"*03ae8*","Dansby Swanson","CHC","SS","103","FA","31","74.77","100","134.9","94%","0%"
"*05jpd*","Ian Seymour","TB","SP,RP","104","FA","27","74.76","100","302.7","84%","0%"
"*025he*","George Springer","TOR","OF","105","BraedonS","36","74.65","100","81.7","97%","0%"
"*02bqy*","Joe Musgrove","SD","SP","106","FA","33","74.59","100","244","87%","0%"
"*05ge9*","Shota Imanaga","CHC","SP","107","TBD","32","74.57","100","167.3","98%","0%"
"*03qo0*","Pete Fairbanks","MIA","RP","108","FA","32","74.49","99","245.4","91%","0%"
"*02btx*","Tyler Glasnow","LAD","SP","109","OWH","32","74.38","100","110.5","97%","0%"
"*02mw3*","Christian Walker","HOU","1B","110","paranoia","34","74.36","100","167.6","92%","0%"
"*02bqh*","Trevor Story","BOS","SS","111","BraedonS","33","74.28","100","102.6","95%","0%"
"*05mre*","Spencer Strider","ATL","SP","112","OWH","27","74.26","100","82.2","98%","0%"
"*03zlh*","Oneil Cruz","PIT","OF","113","RDO","27","74.15","100","76.4","99%","0%"
"*02hj7*","Merrill Kelly","ARI","SP","114","PINKHATS","37","73.82","100","211","92%","0%"
"*03deg*","Justin Steele","CHC","SP","115","FA","30","73.74","99","342.8","92%","0%"
"*041qo*","Zac Gallen","(N/A)","SP","116","FA","30","73.72","100","183.1","96%","0%"
"*02xic*","Teoscar Hernandez","LAD","OF","117","PINKHATS","33","73.7","100","117","96%","0%"
"*02iug*","Michael Wacha","KC","SP","118","FA","34","73.57","100","291.6","84%","0%"
"*041ps*","Nick Lodolo","CIN","SP","119","FA","27","73.44","100","141.2","98%","0%"
"*04yk2*","Spencer Torkelson","DET","1B","120","OWH","26","73.17","100","143","98%","0%"
"*04nb2*","Riley Greene","DET","OF","121","BraedonS","25","73.15","100","65","99%","0%"
"*04t9b*","Michael Busch","CHC","1B","122","FA","28","72.97","100","101.3","98%","0%"
"*03df2*","Dylan Cease","TOR","SP","123","OWH","30","72.94","100","70.7","98%","0%"
"*04aee*","Jo Adell","LAA","OF","124","FA","26","72.74","100","129.1","96%","0%"
"*041wv*","Michael King","SD","SP","125","paranoia","30","72.71","100","149.4","97%","0%"
"*04ali*","Edward Cabrera","CHC","SP","126","FA","27","72.6","100","199.3","95%","0%"
"*065ji*","Jakob Marsee","MIA","OF","127","FA","24","72.54","100","136.6","96%","0%"
"*04355*","Yordan Alvarez","HOU","UT","128","paranoia","28","72.51","100","38.2","99%","0%"
"*04z6m*","Agustin Ramirez","MIA","C","129","BraedonS","24","72.45","100","108.1","98%","0%"
"*03yrz*","William Contreras","MIL","C","130","RDO","28","72.4","100","63.2","99%","0%"
"*05y2l*","Emmet Sheehan","LAD","SP","131","FA","26","72.25","100","143.7","95%","0%"
"*01spl*","Jurickson Profar","ATL","OF","132","FA","32","72.19","100","141.1","94%","0%"
"*03i81*","Reynaldo Lopez","ATL","SP","133","paranoia","32","72.18","93","396.6","75%","0%"
"*04o4s*","Shea Langeliers","ATH","C","134","paranoia","28","71.92","100","66.7","98%","0%"
"*0425t*","Bailey Ober","MIN","SP","135","FA","30","71.76","100","267.8","89%","0%"
"*04ppj*","Jeremy Pena","HOU","SS","136","OWH","28","71.61","100","127.3","98%","0%"
"*01cgo*","Freddie Freeman","LAD","1B","137","Aidangon","36","71.61","100","56.4","98%","0%"
"*03pje*","Taylor Ward","BAL","OF","138","FA","32","71.6","100","114.8","97%","0%"
"*04pbq*","Geraldo Perdomo","ARI","SS","139","Aidangon","26","71.32","100","55","98%","0%"
"*03nmw*","Ian Happ","CHC","OF","140","FA","31","71.31","100","113.7","96%","0%"
"*04ru5*","Andy Pages","LAD","OF","141","Aidangon","25","70.9","100","129.1","98%","0%"
"*05ycf*","Noah Cameron","KC","SP","142","FA","26","70.9","100","218.2","95%","0%"
"*02c4q*","Nick Martinez","(N/A)","SP,RP","143","FA","35","70.87","90","412.7","55%","0%"
"*0512e*","Spencer Steer","CIN","1B","144","FA","28","70.73","100","224.6","92%","0%"
"*05u2v*","Hunter Goodman","COL","C","145","Aidangon","26","70.63","100","87.6","98%","0%"
"*05jq2*","Andrew Abbott","CIN","SP","146","Aidangon","26","70.54","100","196.2","97%","0%"
"*04b02*","Seiya Suzuki","CHC","OF,UT","147","OWH","31","70.51","100","80.9","98%","0%"
"*04aq4*","Adolis Garcia","PHI","OF","148","PINKHATS","32","70.42","100","214.8","89%","0%"
"*05gtn*","Tyler Soderstrom","ATH","1B,OF","149","RDO","24","70.41","100","88.2","99%","0%"
"*03pj4*","Cody Ponce","TOR","SP","150","FA","31","70.26","97","303.5","66%","0%"
"*02mw6*","Corey Seager","TEX","SS","151","BraedonS","31","70.21","100","88.4","98%","0%"
"*05nso*","Abner Uribe","MIL","RP","152","FA","25","70.1","100","262.8","90%","0%"
"*05ras*","Colton Cowser","BAL","OF","153","FA","25","69.99","100","219.9","92%","0%"
"*01svz*","Kenley Jansen","DET","RP","154","FA","38","69.96","100","266.2","85%","0%"
"*02bx4*","Clay Holmes","NYM","SP","155","TBD","32","69.92","100","277.1","89%","0%"
"*04ak5*","Trevor Rogers","BAL","SP","156","RDO","28","69.83","100","142.5","97%","0%"
"*03pom*","Austin Riley","ATL","3B","157","PINKHATS","28","69.65","100","61.7","98%","0%"
"*04px8*","Reese Olson","DET","SP","158","FA","26","69.56","100","300.6","91%","0%"
"*05aoc*","Eury Perez","MIA","SP","159","RDO","22","69.49","100","97.6","99%","0%"
"*024m0*","Jose Altuve","HOU","2B,OF","160","PINKHATS","35","69.46","100","96.8","97%","0%"
"*05u9z*","Roman Anthony","BOS","OF","161","RDO","21","69.31","100","40.4","99%","0%"
"*05ybv*","Jackson Holliday","BAL","2B","162","paranoia","22","69.04","100","88.6","99%","0%"
"*04c0o*","Jose Soriano","LAA","SP","163","FA","27","69.01","100","277","87%","0%"
"*04cd5*","MacKenzie Gore","TEX","SP","164","paranoia","26","68.99","100","164.1","98%","0%"
"*05yo5*","Ben Rice","NYY","C,1B","165","OWH","26","68.98","100","81.4","98%","0%"
"*03ql5*","Ryan Helsley","BAL","RP","166","FA","31","68.95","100","218.2","89%","0%"
"*04tlv*","Bryan Abreu","HOU","RP","167","FA","28","68.8","93","368.5","80%","0%"
"*02w7p*","Alex Bregman","CHC","3B","168","PINKHATS","31","68.53","100","84.2","98%","0%"
"*02c2r*","Carlos Rodon","NYY","SP","169","BraedonS","33","68.52","100","166.1","98%","0%"
"*02x0f*","Sean Manaea","NYM","SP","170","FA","33","68.4","99","309.4","78%","0%"
"*05gsi*","Ceddanne Rafaela","BOS","2B,OF","171","FA","25","68.21","100","156.2","98%","0%"
"*03d6w*","Jack Flaherty","DET","SP","172","FA","30","68.15","100","193.7","94%","0%"
"*03120*","Cody Bellinger","NYY","OF","173","TBD","30","68.15","100","73.5","98%","0%"
"*02nax*","Matt Strahm","KC","RP","174","FA","34","68.06","25","468.7","41%","0%"
"*025j1*","Robbie Ray","SF","SP","175","FA","34","68.02","100","146.2","96%","0%"
"*05g3x*","Maikel Garcia","KC","3B","176","BraedonS","25","68","100","69.4","98%","0%"
"*01u75*","Salvador Perez","KC","C,1B","177","PINKHATS","35","67.84","100","134","95%","0%"
"*04enz*","Robert Garcia","TEX","RP","178","FA","29","67.75","36","444.2","42%","0%"
"*06ktn*","Tatsuya Imai","HOU","SP","179","paranoia","27","67.66","100","166.8","82%","0%"
"*03sef*","Seth Lugo","KC","SP","180","FA","36","67.62","100","298.6","85%","0%"
"*03pov*","Brady Singer","CIN","SP","181","FA","29","67.46","100","238.5","92%","0%"
"*05u6q*","Cam Schlittler","NYY","SP","182","FA","24","67.25","100","137.8","97%","0%"
"*04g1x*","David Peterson","NYM","SP","183","FA","30","67.2","99","289.3","86%","0%"
"*04pkr*","Nico Hoerner","CHC","2B","184","FA","28","67.18","100","90.4","97%","0%"
"*04em6*","Will Vest","DET","RP","185","FA","30","67.1","91","343.4","79%","0%"
"*05ua7*","Jackson Merrill","SD","OF","186","paranoia","22","66.91","100","74.1","99%","0%"
"*05mdt*","Evan Carter","TEX","OF","187","BraedonS","23","66.72","99","266.6","92%","0%"
"*04cwf*","Shane Baz","BAL","SP","188","FA","26","66.63","100","198.2","97%","0%"
"*03d6s*","Matt Chapman","SF","3B","189","OWH","32","66.51","99","115.6","95%","0%"
"*04pr1*","Steven Kwan","CLE","OF","190","TBD","28","66.48","99","137.3","98%","0%"
"*031d4*","Zack Littell","(N/A)","SP","191","FA","30","66.41","97","329.3","79%","0%"
"*03d7h*","Mitch Keller","PIT","SP","192","FA","29","66.37","100","254.9","90%","0%"
"*03qjy*","Brandon Lowe","PIT","2B","193","FA","31","66.33","100","138.8","96%","0%"
"*03oh0*","Willson Contreras","BOS","1B","194","FA","33","66.31","100","195.8","94%","0%"
"*05r01*","Robert Suarez","ATL","RP","195","PINKHATS","34","66.04","100","288.1","94%","0%"
"*061yu*","Jacob Misiorowski","MIL","SP","196","RDO","23","66.02","100","94.6","98%","0%"
"*03qwa*","Phil Maton","CHC","RP","197","FA","32","66.01","23","463.1","35%","0%"
"*03btv*","Sandy Alcantara","MIA","SP","198","FA","30","65.99","100","136.7","97%","0%"
"*03fi0*","Ozzie Albies","ATL","2B","199","RDO","29","65.87","99","142.5","98%","0%"
"*050c3*","Jasson Dominguez","NYY","OF","200","Aidangon","22","65.83","100","178.5","98%","0%"
"*04ehz*","Jeremiah Estrada","SD","RP","201","FA","27","65.72","66","431.9","69%","0%"
"*04ee8*","Heliot Ramos","SF","OF","202","FA","26","65.69","100","174.1","96%","0%"
"*02i3o*","Aaron Nola","PHI","SP","203","FA","32","65.65","100","185.6","94%","0%"
"*041qb*","Bo Bichette","NYM","SS","204","TBD","27","65.53","100","99.7","98%","0%"
"*03dfa*","Tanner Scott","LAD","RP","205","FA","31","65.47","77","401.3","73%","0%"
"*06luc*","Jack Dreyer","LAD","SP,RP","206","FA","26","65.46","15","486.9","32%","0%"
"*02mwk*","Jose Berrios","TOR","SP","207","FA","31","65.34","98","331.6","85%","0%"
"*062ob*","Jose Ferrer","SEA","RP","208","FA","25","65.21","51","446.4","49%","-1%"
"*03e5m*","Bryan Reynolds","PIT","OF","209","paranoia","31","65.16","100","167.7","95%","0%"
"*05y3u*","Munetaka Murakami","CHW","3B","210","RDO","25","65.13","100","167.1","86%","0%"
"*04p10*","Bryson Stott","PHI","2B","211","FA","28","65.11","100","160.8","94%","0%"
"*03pit*","Trent Grisham","NYY","OF","212","FA","29","64.99","100","197.8","90%","0%"
"*02w16*","Anthony Santander","TOR","OF,UT","213","FA","31","64.96","100","208.3","92%","0%"
"*05jp7*","Gavin Williams","CLE","SP","214","FA","26","64.87","100","122.9","98%","0%"
"*05zh9*","Luke Keaschall","MIN","2B","215","FA","23","64.84","100","112.4","98%","0%"
"*03as0*","Joe Jimenez","ATL","RP","216","FA","31","64.75","7","474.6","16%","0%"
"*04eqa*","Garrett Whitlock","BOS","RP","217","FA","29","64.46","50","444.4","63%","0%"
"*05gx5*","Jose Corniell","TEX","RP","218","FA","22","64.44","10","482.7","25%","0%"
"*04pks*","Matt McLain","CIN","2B","219","PINKHATS","26","64.42","100","207.1","94%","0%"
"*04qnd*","Noelvi Marte","CIN","3B,OF","220","FA","24","64.34","100","160.2","97%","0%"
"*04tji*","Edwin Uceta","TB","RP","221","FA","28","64.31","88","400.6","71%","0%"
"*04q05*","Alex Vesia","LAD","RP","222","FA","29","64.19","26","479.2","48%","0%"
"*04mlf*","Casey Mize","DET","SP","223","FA","28","64.12","100","253.7","93%","0%"
"*047l7*","Luis Robert Jr.","NYM","OF","224","Aidangon","28","64.1","100","125.8","96%","0%"
"*025gb*","Xander Bogaerts","SD","SS","225","FA","33","64.08","100","229","91%","0%"
"*04azv*","Jake Burger","TEX","1B","226","FA","29","64","99","305.7","77%","0%"
"*043ia*","Adrian Morejon","SD","RP","227","FA","26","63.98","48","446.1","62%","-1%"
"*01cdf*","Giancarlo Stanton","NYY","OF,UT","228","FA","36","63.94","100","218.2","87%","0%"
"*05gww*","Cade Horton","CHC","SP","229","BraedonS","24","63.85","100","168.6","98%","0%"
"*01uc9*","Nick Castellanos","PHI","OF","230","TBD","33","63.82","100","285.8","84%","0%"
"*05y4b*","Caleb Durbin","MIL","3B","231","FA","25","63.81","99","245.4","88%","0%"
"*05gsc*","Jordan Westburg","BAL","3B","232","paranoia","26","63.74","100","122.6","98%","0%"
"*031fj*","Gabe Speier","SEA","RP","233","FA","30","63.69","16","484.9","35%","0%"
"*06dqb*","Shane Smith","CHW","SP","234","FA","25","63.6","100","263.5","89%","0%"
"*02bq7*","Robert Stephenson","LAA","RP","235","FA","32","63.57","31","453.5","28%","0%"
"*0513l*","Brenton Doyle","COL","OF","236","FA","27","63.52","100","185.6","90%","0%"
"*04y97*","Kyle Stowers","MIA","OF","237","BraedonS","28","63.38","100","133.7","97%","0%"
"*05h2u*","Jared Jones","PIT","SP","238","FA","24","63.35","98","371.8","91%","0%"
"*0596e*","Dylan Crews","WSH","OF","239","BraedonS","23","63.23","100","155.6","98%","0%"
"*025it*","Jason Adam","SD","RP","240","FA","34","63.17","19","491.2","47%","0%"
"*04naz*","Tyler Holton","DET","SP,RP","241","FA","29","63.16","13","483.3","27%","0%"
"*04pko*","Grayson Rodriguez","LAA","SP","242","OWH","26","63.13","100","290.4","93%","0%"
"*05jr0*","Alec Burleson","STL","1B,OF","243","TBD","27","63.12","100","220.5","92%","0%"
"*05rik*","Bubba Chandler","PIT","SP","244","PINKHATS","23","63.1","100","164.2","98%","0%"
"*05y7s*","Nolan McLean","NYM","SP","245","BraedonS","24","62.99","100","117.5","97%","0%"
"*04mra*","Ezequiel Tovar","COL","SS","246","FA","24","62.92","100","241.1","89%","0%"
"*05143*","Hunter Gaddis","CLE","RP","247","FA","27","62.91","26","477.2","51%","0%"
"*045gu*","TJ Friedl","CIN","OF","248","FA","30","62.9","100","214.9","89%","0%"
"*06mi0*","Bryan King","HOU","RP","249","FA","29","62.82","14","484.8","35%","0%"
"*04a2t*","Kodai Senga","NYM","SP","250","Aidangon","32","62.8","100","283.4","93%","0%"
"*051em*","Kerry Carpenter","DET","OF","251","TBD","28","62.49","100","215.2","95%","0%"
"*0524l*","Yainer Diaz","HOU","C","252","FA","27","62.44","100","184.2","97%","0%"
"*04ggi*","Andrew Kittredge","BAL","RP","253","FA","35","62.43","32","457.2","36%","0%"
"*01vxp*","Brooks Raley","NYM","RP","254","FA","37","62.42","6","470.2","13%","0%"
"*04tzu*","Ronny Henriquez","MIA","RP","255","FA","25","62.38","57","426.2","58%","-1%"
"*0414g*","Luis Garcia Jr.","WSH","2B","256","FA","25","62.29","100","236.4","89%","0%"
"*04tjl*","Otto Lopez","MIA","2B,SS","257","FA","27","62.18","99","317.6","87%","0%"
"*041ah*","Josh Lowe","LAA","OF","258","FA","27","62.18","99","267.5","81%","0%"
"*03m6o*","Yandy Diaz","TB","1B","259","PINKHATS","34","62.11","100","138.2","95%","0%"
"*04ml0*","Yusei Kikuchi","LAA","SP","260","Aidangon","34","62","99","253.2","84%","0%"
"*02c5l*","Luke Weaver","NYM","RP","261","FA","32","61.87","37","451.3","53%","0%"
"*01usi*","Marcell Ozuna","(N/A)","UT","262","FA","35","61.83","100","243.1","82%","0%"
"*04yid*","Ryne Nelson","ARI","SP,RP","263","FA","27","61.74","100","251.9","90%","0%"
"*02c2h*","Chris Bassitt","(N/A)","SP","264","FA","36","61.61","99","306","82%","0%"
"*04eos*","Joey Cantillo","CLE","SP,RP","265","FA","26","61.54","99","312.4","80%","0%"
"*04t40*","Brayan Bello","BOS","SP","266","FA","26","61.47","100","257.7","94%","0%"
"*05vy6*","Bryce Miller","SEA","SP","267","TBD","27","61.33","100","225.2","95%","0%"
"*02z0e*","Yimi Garcia","TOR","RP","268","FA","35","61.28","17","486.4","19%","0%"
"*060x1*","Wilyer Abreu","BOS","OF","269","FA","26","61.24","100","233.8","93%","0%"
"*041e3*","Braxton Garrett","MIA","SP","270","FA","28","61.19","49","468.9","47%","0%"
"*0630d*","Drake Baldwin","ATL","C","271","FA","24","61.12","100","134","97%","0%"
"*01sbv*","Shelby Miller","(N/A)","RP","272","FA","35","61.08","1","462.6","10%","0%"
"*0374m*","Tyler Rogers","TOR","RP","273","FA","35","61.07","21","479.4","43%","0%"
"*02j77*","Chris Martin","TEX","RP","274","FA","39","60.99","11","484","14%","0%"
"*05138*","Matt Brash","SEA","RP","275","TBD","27","60.83","32","459","52%","0%"
"*04pvl*","Mike Burrows","HOU","SP","276","FA","26","60.83","97","356.5","71%","0%"
"*02c47*","Shawn Armstrong","CLE","RP","277","FA","35","60.72","20","482.2","28%","0%"
"*04ej3*","Riley OBrien","STL","RP","278","FA","30","60.68","70","424.5","46%","0%"
"*05yb8*","Chad Patrick","MIL","SP","279","FA","27","60.56","99","327.8","76%","0%"
"*04b01*","Tomoyuki Sugano","(N/A)","SP","280","FA","36","60.39","20","475.4","30%","0%"
"*051b4*","Jordan Beck","COL","OF","281","FA","24","60.32","100","232.4","85%","0%"
"*031t0*","Gleyber Torres","DET","2B","282","TBD","29","60.32","100","183.5","95%","0%"
"*04puc*","Bennett Sousa","HOU","RP","283","FA","30","60.31","8","477.2","16%","0%"
"*04si2*","Andrew Vaughn","MIL","1B","284","FA","27","60.07","99","287.8","80%","+1%"
"*01s8u*","Mike Trout","LAA","OF,UT","285","RDO","34","59.97","100","143.8","96%","0%"
"*06491*","Orion Kerkering","PHI","RP","286","FA","24","59.95","19","488.8","43%","0%"
"*05rb1*","Sal Frelick","MIL","OF","287","FA","25","59.75","100","197.2","95%","0%"
"*05lg3*","Brandon Pfaadt","ARI","SP","288","FA","27","59.58","99","282.6","89%","0%"
